Focus ID; Focus Name; Focus Description; Notes
SCA_San_Diego_Automotive_Plants;A New Motor City;;Empty description (localization key exists);
SCA_improve_engineer_corp;Improve Engineer Corp;;Empty description (localization key exists);
SCA_anti_establishment;Progressive's Win;;Empty description (localization key exists);
SCA_support_feds;Support the Federal Government;;Empty description (localization key exists);
SCA_punish_yellow_journalism;Punish Yellow Journalism;;Empty description (localization key exists);
SCA_Ask_Unions_for_Production_Support;Ask Unions for Production Support;;Empty description (localization key exists);
SCA_civilian_wartime_measurements;Civilian Wartime Economy;;Empty description (localization key exists);
SCA_promote_independent_media;Promote Independent Media;;Empty description (localization key exists);
SCA_popular_uprising;Red Insurrection;;Empty description (localization key exists);
SCA_Patton_Cedes_Power;Patton Cedes Power;;Empty description (localization key exists);
SCA_charge_merriam;Charge Merriam;;Empty description (localization key exists);
SCA_loyal_unions;Union Loyality;;Empty description (localization key exists);
SCA_victory_compensation_to_business;Victory Compensation to Business;;Empty description (localization key exists);
SCA_deploy_the_national_guard;Deploy the National Guard;;Empty description (localization key exists);
SCA_Rubber_Fac;Rubber Factories;;Empty description (localization key exists);
SCA_A_plan_for_mickey_mouse_amusment_park;A Plan For Mickey Mouse Amusment Park;;Empty description (localization key exists);
SCA_state_control_of_factories;State Control of Factories;;Empty description (localization key exists);
SCA_Selling_Our_Research;Sell our Research;;Empty description (localization key exists);
SCA_shock_and_awe;Shock and Awe;;Empty description (localization key exists);
SCA_extra_tech_slot;Expand The University of Berkeley;;Empty description (localization key exists);
SCA_get_rid_of_trustbusting;Get Rid of Trustbusting;;Empty description (localization key exists);
SCA_green_hornet_legion;Green Hornet Legion;;Empty description (localization key exists);
SCA_worker_brigades;Worker Brigades;;Empty description (localization key exists);
SCA_invite_former_SPA_members;Invite Former SPA Members;;Empty description (localization key exists);
SCA_the_puppet_governor;The Puppet President;;Empty description (localization key exists);
SCA_Rubber_Proj;Rubber Works;;Empty description (localization key exists);
SCA_phony_politics;Phony Politics;;Empty description (localization key exists);
SCA_nationalize_sierra_pacifica;Nationalize Sierra Pacifica;;Empty description (localization key exists);
SCA_prioritize_artillery;Prioritize Arty;;Empty description (localization key exists);
SCA_garner_union_support;Garner Union Support;;Empty description (localization key exists);
SCA_Union_Officers_In_Army;Union Officers in Army;;Empty description (localization key exists);
SCA_ban_unions;Ban Unions;;Empty description (localization key exists);
SCA_strike_idaho_and_wy;Strike Idaho and Wyoming;;Empty description (localization key exists);
SCA_gurantee_navajo;Guarantee Navajo;;Empty description (localization key exists);
SCA_nevadan_ultimatium;Protect Nevada;;Empty description (localization key exists);
SCA_second_longshore_strike;Second Longshore Strike;;Empty description (localization key exists);
SCA_nationalize_the_armed_forces;Nationalize the Armed Forces;;Empty description (localization key exists);
SCA_officer_School;Officer Schools;;Empty description (localization key exists);
SCA_Louis_B_Mayer_hijack_GOP;[null];[null];Missing description (no localization key exists);
SCA_end_utah;End Utah;;Empty description (localization key exists);
SCA_EPIC_authority_of_production;EPIC Authority of Production;;Empty description (localization key exists);
SCA_full_employment;Full Employment;;Empty description (localization key exists);
SCA_Military_Drill_Perfectionism;Military Drill Perfectionism;;Empty description (localization key exists);
SCA_sam_darcy_defection;Sam Darcy Defection;;Empty description (localization key exists);
SCA_Patton_Procurement;Patton Procurement;;Empty description (localization key exists);
SCA_Union_Tank_Cores;Union Tanks;;Empty description (localization key exists);
SCA_bolster_the_californian_spirit;Bolster the Californian Spirit;;Empty description (localization key exists);
SCA_preemptive_barricades;Preemptive Barricades;;Empty description (localization key exists);
SCA_seek_foreign_support;Seek Foreign Support;;Empty description (localization key exists);
SCA_support_oregonian_government;Support Oregon Government;;Empty description (localization key exists);
SCA_soldify_power_in_cities;Solidify Power in Urban Areas;;Empty description (localization key exists);
SCA_placate_civil_rights_leaders;Placate Civil Rights Leaders;;Empty description (localization key exists);
SCA_reallign_baja;Reallign Baja;;Empty description (localization key exists);
SCA_grow_the_legion;Grow the Legion;;Empty description (localization key exists);
SCA_work_with_standard_oil;Work with Standard Oil;;Empty description (localization key exists);
SCA_Create_Cali_Police_Agency;Create Californian Police;;Empty description (localization key exists);
SCA_Navy_To_Contend_With_Japanese;A Navy to Contend Japan;;Empty description (localization key exists);
SCA_union_research_groups;Union Research Groups;;Empty description (localization key exists);
SCA_ramp_up_propaganda;Ramp Up Propaganda;;Empty description (localization key exists);
SCA_extra_tech_slot_2;Stanford University Grants;;Empty description (localization key exists);
SCA_California_Automotives;California Automoblies;;Empty description (localization key exists);
SCA_anti_japanese_propaganda;Anti Japanese Propaganda;;Empty description (localization key exists);
SCA_develop_nevada;Develop Nevada;;Empty description (localization key exists);
SCA_northern_cali_puppet_gov;Californian Puppet;;Empty description (localization key exists);
SCA_give_autonomy_to_mafia;Give Mafia Autonomy;;Empty description (localization key exists);
SCA_sacremento_clique;Sacramento Clique;;Empty description (localization key exists);
SCA_Radar_Program;Radar Program;;Empty description (localization key exists);
SCA_professional_strike_breakers;Professional Strikebreakers;;Empty description (localization key exists);
SCA_Unions_Guns;Union Guns;;Empty description (localization key exists);
SCA_farming_cooperatives;Farmer Co-Operatives;;Empty description (localization key exists);
SCA_The_California_Rifle;The California Rifle;;Empty description (localization key exists);
SCA_reach_out_to_progressive_WA;Reach out to Washington Progressives;;Empty description (localization key exists);
SCA_ground_air_radar;Ground Air Radar;;Empty description (localization key exists);
SCA_Pattons_Army;Patton's Army;;Empty description (localization key exists);
SCA_fighter_focus;Monoplane Development;;Empty description (localization key exists);
SCA_big_stick_diplomacy;Big Stick Diplomacy;;Empty description (localization key exists);
SCA_Militarization_Of_The_Unions;Militarize the Unions;;Empty description (localization key exists);
SCA_bring_disney_into_fold;Bring Disney into the Fold;;Empty description (localization key exists);
SCA_warplan_tan;Warplan Tan;;Empty description (localization key exists);
SCA_california_state_militia;California State Milita;;Empty description (localization key exists);
SCA_cut_LAPD_budget;Cut LAPD Budget;;Empty description (localization key exists);
SCA_the_new_national_guard;New National Guard;;Empty description (localization key exists);
SCA_partner_with_auto_industry;Partner with Auto Industry;;Empty description (localization key exists);
SCA_San_Diego_Steel_Works;San Diego, the Steel City;;Empty description (localization key exists);
SCA_farmer_assist_group;Farmer Assistance;;Empty description (localization key exists);
SCA_crush_the_remaining_dissidence;Crush the Remaining Resistance;;Empty description (localization key exists);
SCA_mass_propaganda;Mass Propaganda;;Empty description (localization key exists);
SCA_the_bannnas_must_flow;The Bananas Must Flow;;Empty description (localization key exists);
SCA_rally_the_north;Rally the North;;Empty description (localization key exists);
SCA_safeguard_arizona_from_utah;Safeguard Arizona from Utah;;Empty description (localization key exists);
SCA_trust_busting;Enforce Legal Equality;;Empty description (localization key exists);
SCA_expand_the_national_guard;Expand the National Guard;;Empty description (localization key exists);
SCA_patton_truimphant;Patton's Triumph;;Empty description (localization key exists);
SCA_Female_Militas;Female Militas;;Empty description (localization key exists);
SCA_restore_order_in_oregon;Restore Order in Oregon;;Empty description (localization key exists);
SCA_restore_order_in_wa;Restore Order in Washington;;Empty description (localization key exists);
SCA_a_20thcentury_ceasar;The New Caesar;;Empty description (localization key exists);
SCA_garner_local_support;Garner Local Support;;Empty description (localization key exists);
SCA_pack_the_courts;Pack the Courts;;Empty description (localization key exists);
SCA_bail_out_california_standard_oil;Bail Out Standard Oil;;Empty description (localization key exists);
SCA_reach_out_to_the_industries;Reach out to Industries;;Empty description (localization key exists);
SCA_cut_nat_guard_budget;Cut National Guard Budget;;Empty description (localization key exists);
SSC_paternalism_for_laborers;Paternalism for Laborers;;Empty description (localization key exists);
SSC_southern_unity;Southern Unity;;Empty description (localization key exists);
SSC_citadel_militia;Citadel Combatants;;Empty description (localization key exists);
SSC_textile_workers_holiday;Textile Workers Holiday;;Empty description (localization key exists);
SSC_study_longist_doctrines;Study Longist Doctrines;;Empty description (localization key exists);
SSC_Mass_funding_to_armaments_industry;Mass Funding to Armaments Industry;;Empty description (localization key exists);
SSC_Open_greenville_Chromite_mine;Open Greenville Chromite Mine;;Empty description (localization key exists);
SSC_greater_carolina;Plans for a Greater Carolina;;Empty description (localization key exists);
SSC_army_of_defense;Army of Defense;;Empty description (localization key exists);
SSC_funding_new_industry;Funding New Industry;;Empty description (localization key exists);
SSC_only_true_carolina;Only True Carolina;;Empty description (localization key exists);
SSC_Recruit_the_redshirts;Recruit the Red Shirts;;Empty description (localization key exists);
SSC_atomic_fusion_research;Atomic Fusion Research;;Empty description (localization key exists);
SSC_Naval_doctrines;Naval Doctrines;;Empty description (localization key exists);
SSC_host_klan_rally;Rally the White and Right;;Empty description (localization key exists);
SSC_begin_infrasture_boosts;Begin Infrastructure Boosts;;Empty description (localization key exists);
SSC_Prepare_our_new_military;Prepare Our New Military;;Empty description (localization key exists);
SSC_Agriculture_Subsidies;Agriculture Subsidies;;Empty description (localization key exists);
SSC_public_welfare;Public Welfare;;Empty description (localization key exists);
SSC_brynes;Brynes;;Empty description (localization key exists);
SSC_Construct_Spartanburg_line;Construct Spartanburg Line;;Empty description (localization key exists);
SSC_palmetto_florida_alliance;Palmetto-Tallahasse Axis;;Empty description (localization key exists);
SSC_Synthetic_resources;Synthetic Resources;;Empty description (localization key exists);
SSC_cotton_ed;Cotton Ed;;Empty description (localization key exists);
SSC_Sell_south_carolina_bonds;Sell South Carolina Bonds;;Empty description (localization key exists);
SSC_Destroyer_upgrades;Destroyer Upgrades;;Empty description (localization key exists);
SSC_carrier_focus;Carrier Focus;;Empty description (localization key exists);
SSC_clemson_medical_corps;Clemson Medical Corps;;Empty description (localization key exists);
SSC_Sythetic_research;Synthetic Research;;Empty description (localization key exists);
SSC_purge_communism_in_schools;Purge Communism in Schools;;Empty description (localization key exists);
SSC_Study_jet_technology;Study Jet Technology;;Empty description (localization key exists);
SSC_double_cross_johnston;Double-Cross the Donkey;;Empty description (localization key exists);
SSC_tobacco_industry_expansion;Tobacco Industry Expansion;;Empty description (localization key exists);
SSC_thurmond;Thurmond;;Empty description (localization key exists);
SSC_study_foreign_doctrines;Study Foreign Doctrines;;Empty description (localization key exists);
SSC_share_technology;Share Technology;;Empty description (localization key exists);
SSC_johnston_return;Johnston Return;;Empty description (localization key exists);
SSC_tame_cotton_ed;Taming the Cotton Man;;Empty description (localization key exists);
SSC_militarize_coke_factories;Cokes to Cannons;;Empty description (localization key exists);
SSC_dominion_of_barbados;[null];[null];Missing description (no localization key exists);
SSC_Develop_sub_machineguns;Develop Sub Machine Guns;;Empty description (localization key exists);
SSC_Raider_fleet;Raider Fleet;;Empty description (localization key exists);
SSC_field_hands;Field Hands;;Empty description (localization key exists);
SSC_Abolish_unionism;Abolish Unionism;;Empty description (localization key exists);
SSC_state_textile_mills;State Textile Mills;;Empty description (localization key exists);
SSC_Put_Everybody_to_work;Put Everybody to Work;;Empty description (localization key exists);
SSC_end_mandatory_schooling;Snap the Teachers' Whips;;Empty description (localization key exists);
SSC_defend_white_workers;White Worker Rights;;Empty description (localization key exists);
SSC_raider_doctrine;Raider Doctrine;;Empty description (localization key exists);
SSC_flexible_army;Flexible Army;;Empty description (localization key exists);
SSC_increase_funding_to_clemson;Increase Funding to Clemson;;Empty description (localization key exists);
SSC_teacher_corps;Brigade of the Teachers;;Empty description (localization key exists);
SSC_ban_on_klan;Kuck the Klucks;;Empty description (localization key exists);
SSC_great_depression_relief;Great Depression Relief;;Empty description (localization key exists);
SSC_georgia_non_agression_pact;Georgia Non Aggression Pact;;Empty description (localization key exists);
SSC_columbia_armory;Columbia Armory;;Empty description (localization key exists);
SSC_join_southern_defense_council;Join Southern Defense Council;;Empty description (localization key exists);
SSC_army_of_attack;Army of Attack;;Empty description (localization key exists);
SSC_Aluminum_development;Aluminum Development;;Empty description (localization key exists);
SSC_Fund_state_run_media;Fund State Run Media;;Empty description (localization key exists);
SSC_nationalize_redshirts;Nationalize Redshirts;;Empty description (localization key exists);
SSC_Expand_greenville_Chromite_mine;Expand Greenville Chromite Mine;;Empty description (localization key exists);
SSC_nationalize_textile_mills;Nationalize Textile Mills;;Empty description (localization key exists);
SSC_greenville_tank_plants;Greenville Tank Plants;;Empty description (localization key exists);
SSC_enforce_mandatory_schooling;Strike at the Lousy;;Empty description (localization key exists);
SSC_battleship_design;Battleship Design;;Empty description (localization key exists);
SSC_arsenal_for_democracy;Arsenal for Democracy;;Empty description (localization key exists);
SSC_increase_minium_wage;Increase Minimum Wage;;Empty description (localization key exists);
SSC_wade_hampton_legion;Wade Hampton Legion;;Empty description (localization key exists);
SSC_oppose_authoritarianism;Oppose Authoritarianism;;Empty description (localization key exists);
SSC_Advance_cruisers;Advance Cruisers;;Empty description (localization key exists);
SSC_south_carolina_resources_management;South Carolina Resources Management;;Empty description (localization key exists);
SSC_crush_the_belly_crawlers;Crush the Belly Crawlers;;Empty description (localization key exists);
SSC_shut_down_black_schools;Wrecking Black Schools;;Empty description (localization key exists);
SSC_expanding_clemson;Expanding Clemson;;Empty description (localization key exists);
SSC_Improve_artillery_shells;Improved Artillery Shells;;Empty description (localization key exists);
SSC_ban_yankee_strike_breakers;Break Yankee Strike Breakers;;Empty description (localization key exists);
SSC_more_cotton;More Cotton;;Empty description (localization key exists);
SSC_Develop_better_fighters;Develop Better Fighters;;Empty description (localization key exists);
SSC_Great_south_carolina_highways;Great South Carolina Highways;;Empty description (localization key exists);
SSC_South_Carolina_National_fervor;South Carolina National Fervor;;Empty description (localization key exists);
SSC_Establish_social_Security;Establish Social Security;;Empty description (localization key exists);
SSC_Electronics_development;Electronics Development;;Empty description (localization key exists);
SSC_fair_labor_and_capital_act;Fair Labor & Capital;;Empty description (localization key exists);
SSC_carolina_draft;Carolina Draft;;Empty description (localization key exists);
SSC_eight_hour_work_day;Eight Hour Work Day;;Empty description (localization key exists);
SSC_Arms_import_focus;Arms Import Focus;;Empty description (localization key exists);
SSC_palmetto_aces;Palmetto Aces;;Empty description (localization key exists);
SSC_redevelop_army_industries;Re-Develop Army Industries;;Empty description (localization key exists);
SSC_mass_mobilization_bill;Mass Mobilization Bill;;Empty description (localization key exists);
SSC_denounce_charleston_catholics;Remind the Catholics of their Place;;Empty description (localization key exists);
SSC_carolina_tank_corps;Carolina Tank Corps;;Empty description (localization key exists);
SSC_armored_courses;Armored Courses;;Empty description (localization key exists);
SSC_weapons_building_boom;Weapons Building Boom;;Empty description (localization key exists);
SSC_Acquiring_Weapons;Acquiring Weapons;;Empty description (localization key exists);
SSC_georgia_is_ours;Georgia Is Ours;;Empty description (localization key exists);
SSC_work_with_johnston;The Democrats Together;;Empty description (localization key exists);
LMO_Contract_Rizo_The_Rat;Contract Rizo the Rat;;Empty description (localization key exists);
LMO_Miss_Piggies_Special_Forces;Miss Piggy's Special Forces;;Empty description (localization key exists);
LMO_Broadcast_a_Little_Talk_with_Gonzo;Broadcast a Little Talk with Gonzo;;Empty description (localization key exists);
LMO_kermies_fanatics;Kermie's Fanatics;;Empty description (localization key exists);
LMO_Hire_Animal;Hire Animal;;Empty description (localization key exists);
LMO_B_gonzo;[null];[null];Missing description (no localization key exists);
LMO_Continue_With_Kermit;Continue with Kermit;;Empty description (localization key exists);
LMO_Contract_Swedish_Chef_As_Army_Cheif;Contract Swedish Chef as the Army Chief;;Empty description (localization key exists);
LMO_crazy_harry_explosives;Crazy Harry's Explosives;;Empty description (localization key exists);
LMO_focus_kermit_goes_jihadi;Kermit Goes Jihadi;;Empty description (localization key exists);
LMO_Trial_Of_Eagle_Sam;Trial of Eagle Sam;;Empty description (localization key exists);
LMO_Contract_Fozzie_bear;Contract Fozzie Bear;;Empty description (localization key exists);
LMO_Populism_in_practice;Populism in Practice;;Empty description (localization key exists);
LMO_Gonzos_Tanks;Gonzo's Tanks;;Empty description (localization key exists);
LMO_Gonzo_Is_angry;Gonzo is Angry;;Empty description (localization key exists);
LMO_Muppets_Cartel;Muppets Cartel;;Empty description (localization key exists);
LMO_Kermits_Coop;Kermit's Coup;;Empty description (localization key exists);
LMO_Kermit_Opens_Black_Mesa;Kermit Opens Black Mesa;;Empty description (localization key exists);
LMO_Recruit_The_Chickens;Recruit the Chickens;;Empty description (localization key exists);
LMO_Flight_suit_Gonzo;Flight Suit Gonzo;;Empty description (localization key exists);
LMO_focus_back_the_way_you_came;Back the Way You Came;;Empty description (localization key exists);
LMO_Beakers_research_division;Beaker's Research Division;;Empty description (localization key exists);
SPA_align_new_jersey;[null];[null];Missing description (no localization key exists);
SPA_Amish_and_mennonite_settlement_Program;[null];[null];Missing description (no localization key exists);
SPA_Establishing_A_Defence_Force;[null];[null];Missing description (no localization key exists);
SPA_Reverse_Engineer_German_Tanks;[null];[null];Missing description (no localization key exists);
SPA_bicycle_experimentation;[null];[null];Missing description (no localization key exists);
SPA_8_hour_workday;[null];[null];Missing description (no localization key exists);
SPA_ground_support_focus;[null];[null];Missing description (no localization key exists);
SPA_Arrest_Kund;[null];[null];Missing description (no localization key exists);
SPA_department_of_public_assistance;[null];[null];Missing description (no localization key exists);
SPA_Develop_Scranton;[null];[null];Missing description (no localization key exists);
SPA_demand_delaware;[null];[null];Missing description (no localization key exists);
SPA_create_the_pennsylvanian_turnpike;[null];[null];Missing description (no localization key exists);
SPA_repair_the_factories;[null];[null];Missing description (no localization key exists);
SPA_the_tri_state_commune;[null];[null];Missing description (no localization key exists);
SPA_Solidify_Deitschlenner_identity;[null];[null];Missing description (no localization key exists);
SPA_the_old_capital_philadelphia;[null];[null];Missing description (no localization key exists);
SPA_anarchism_in_new_york;[null];[null];Missing description (no localization key exists);
SPA_send_an_embassy_to_little_pennsylvania;[null];[null];Missing description (no localization key exists);
SPA_Every_Soldier_A_Mercenary;[null];[null];Missing description (no localization key exists);
SPA_pennsylvania_forest_service;[null];[null];Missing description (no localization key exists);
SPA_invite_delaware_to_the_faction;[null];[null];Missing description (no localization key exists);
SPA_align_the_midwest;[null];[null];Missing description (no localization key exists);
SPA_integrate_southern_society;[null];[null];Missing description (no localization key exists);
SPA_the_united_states_commune;[null];[null];Missing description (no localization key exists);
SPA_bombing_focus;[null];[null];Missing description (no localization key exists);
SPA_crack_down_on_the_strikes;[null];[null];Missing description (no localization key exists);
SPA_oppose_new_york;[null];[null];Missing description (no localization key exists);
SPA_night_time_training;[null];[null];Missing description (no localization key exists);
SPA_democratic_dockyards;[null];[null];Missing description (no localization key exists);
SPA_Reforming_amish_and_mennonite_chruches;[null];[null];Missing description (no localization key exists);
SPA_total_prohibition;[null];[null];Missing description (no localization key exists);
SPA_anarchist_armaries;[null];[null];Missing description (no localization key exists);
SPA_pinchot_roads;[null];[null];Missing description (no localization key exists);
SPA_german_engineering;[null];[null];Missing description (no localization key exists);
SPA_germanize_pennsylvania;[null];[null];Missing description (no localization key exists);
SPA_Squash_Fake_PA_Germans;[null];[null];Missing description (no localization key exists);
SPA_invite_new_jersey;[null];[null];Missing description (no localization key exists);
SPA_Use_PA_Dutch_Language_as_Combat_Language;[null];[null];Missing description (no localization key exists);
SPA_Foster_Communal_Cooperation;[null];[null];Missing description (no localization key exists);
SPA_eliminate_public_police_forces;[null];[null];Missing description (no localization key exists);
SPA_hold_a_mock_election;[null];[null];Missing description (no localization key exists);
SPA_Anarchist_Special_Forces;[null];[null];Missing description (no localization key exists);
SPA_complete_representation;[null];[null];Missing description (no localization key exists);
SPA_fan_german_nationalism;[null];[null];Missing description (no localization key exists);
SPA_Establish_PA_Deutschland;[null];[null];Missing description (no localization key exists);
SPA_Stay_True_To_Our_Roots;[null];[null];Missing description (no localization key exists);
SPA_claim_the_german_american_bund;[null];[null];Missing description (no localization key exists);
SPA_Nuclear_Option;[null];[null];Missing description (no localization key exists);
SPA_Fighter_Program;[null];[null];Missing description (no localization key exists);
SPA_repair_the_railways;[null];[null];Missing description (no localization key exists);
SPA_invite_new_york_to_the_faction;[null];[null];Missing description (no localization key exists);
SPA_focus_on_the_great_lakes_fleet;[null];[null];Missing description (no localization key exists);
SPA_Complete_Desegrigation;[null];[null];Missing description (no localization key exists);
SPA_Amish_Industries;[null];[null];Missing description (no localization key exists);
SPA_develop_southern_factories;[null];[null];Missing description (no localization key exists);
SPA_invest_in_fighters;[null];[null];Missing description (no localization key exists);
SPA_harsh_treatment;[null];[null];Missing description (no localization key exists);
SPA_Refuge_For_Researchers;[null];[null];Missing description (no localization key exists);
SPA_align_the_great_lakes;[null];[null];Missing description (no localization key exists);
SPA_invest_in_infantry_weapons;[null];[null];Missing description (no localization key exists);
SPA_set_up_german_style_Electorate;[null];[null];Missing description (no localization key exists);
SPA_amish_and_mennonite_dominance;[null];[null];Missing description (no localization key exists);
SPA_disorganized_factories;[null];[null];Missing description (no localization key exists);
SPA_expand_eire_dockyards;[null];[null];Missing description (no localization key exists);
SPA_Amish_commando_Forces;[null];[null];Missing description (no localization key exists);
SPA_send_volunteers_to_the_war_in_europe;[null];[null];Missing description (no localization key exists);
SPA_The_Anarchist_Economic_Miracle;[null];[null];Missing description (no localization key exists);
SPA_pennsylvanian_democracy;[null];[null];Missing description (no localization key exists);
SPA_invest_in_capital_ships;[null];[null];Missing description (no localization key exists);
SPA_work_with_communist_countries;[null];[null];Missing description (no localization key exists);
SPA_more_guns;[null];[null];Missing description (no localization key exists);
SPA_Advanced_rubber_Techniques;[null];[null];Missing description (no localization key exists);
SPA_concession_to_the_unions;[null];[null];Missing description (no localization key exists);
SPA_elected_representatives;[null];[null];Missing description (no localization key exists);
SPA_listen_to_the_technocrats;[null];[null];Missing description (no localization key exists);
SPA_pure_anarchy;[null];[null];Missing description (no localization key exists);
SPA_invest_in_submarines;[null];[null];Missing description (no localization key exists);
SPA_healthy_unemployment;[null];[null];Missing description (no localization key exists);
SPA_Integrate_NY;[null];[null];Missing description (no localization key exists);
SPA_the_eastern_commune;[null];[null];Missing description (no localization key exists);
SPA_continue_with_pinchot;[null];[null];Missing description (no localization key exists);
SPA_The_Anarcho_Industries_Project;[null];[null];Missing description (no localization key exists);
SPA_Fund_Self_modernization;[null];[null];Missing description (no localization key exists);
SPA_Purchase_Messerschmitt_designs;[null];[null];Missing description (no localization key exists);
SPA_workers_back_in_the_factories;[null];[null];Missing description (no localization key exists);
SPA_Develop_PA_Synth_Rubber;[null];[null];Missing description (no localization key exists);
SPA_enact_complete_child_rights;[null];[null];Missing description (no localization key exists);
SPA_ensure_external_stability;[null];[null];Missing description (no localization key exists);
SPA_the_little_new_deal;[null];[null];Missing description (no localization key exists);
SPA_germans_in_factories;[null];[null];Missing description (no localization key exists);
SPA_align_texas;[null];[null];Missing description (no localization key exists);
SPA_Open_State_Materials_market;[null];[null];Missing description (no localization key exists);
SPA_create_the_alliance_of_free_countries;[null];[null];Missing description (no localization key exists);
SPA_Grand_Freedom_Fleet;[null];[null];Missing description (no localization key exists);
SPA_invite_ontario_to_the_faction;[null];[null];Missing description (no localization key exists);
SPA_a_question_of_the_capital;[null];[null];Missing description (no localization key exists);
SPA_Convince_The_Amish_To_Fight;[null];[null];Missing description (no localization key exists);
SPA_Run_the_Army_like_A_Buisness;[null];[null];Missing description (no localization key exists);
SPA_invite_wisconsin;[null];[null];Missing description (no localization key exists);
SPA_willing_to_work_with_others;[null];[null];Missing description (no localization key exists);
SPA_PA_Volkssturm;[null];[null];Missing description (no localization key exists);
SPA_United_Under_One_Culture;[null];[null];Missing description (no localization key exists);
SPA_align_delaware;[null];[null];Missing description (no localization key exists);
SPA_The_Anarchist_Militas;[null];[null];Missing description (no localization key exists);
SPA_The_Beginings_Of_PA_Bund;[null];[null];Missing description (no localization key exists);
SPA_expand_philadelphia_dockyards;[null];[null];Missing description (no localization key exists);
SPA_Redraw_Electoral_Borders_To_Favor_Southern_Counties;[null];[null];Missing description (no localization key exists);
SPA_Purchase_German_Shell_Technology;[null];[null];Missing description (no localization key exists);
SPA_anarchist_dockyards;[null];[null];Missing description (no localization key exists);
SPA_Commune_owned_anti_tank;[null];[null];Missing description (no localization key exists);
SPA_Centralized_Commands;[null];[null];Missing description (no localization key exists);
SPA_align_the_south;[null];[null];Missing description (no localization key exists);
SPA_finish_conversion_to_anarchism;[null];[null];Missing description (no localization key exists);
SPA_liberate_WDC;[null];[null];Missing description (no localization key exists);
SPA_strategic_targeting;[null];[null];Missing description (no localization key exists);
SPA_Model_Our_Army_From_Union_Army;[null];[null];Missing description (no localization key exists);
SPA_expand_factories_in_pilidelphia;[null];[null];Missing description (no localization key exists);
SPA_expand_the_railways;[null];[null];Missing description (no localization key exists);
SPA_deal_with_unemployment;[null];[null];Missing description (no localization key exists);
SPA_Integrate_Anarchist_Militas_Into_Regular_Forces;[null];[null];Missing description (no localization key exists);
SPA_align_the_pacific;[null];[null];Missing description (no localization key exists);
SPA_memories_of_the_union;[null];[null];Missing description (no localization key exists);
SPA_partial_prohibition;[null];[null];Missing description (no localization key exists);
SPA_teacher_tenure;[null];[null];Missing description (no localization key exists);
SPA_new_england_manufacteries;[null];[null];Missing description (no localization key exists);
SPA_The_Sign_of_the_Triple_Distelfink;[null];[null];Missing description (no localization key exists);
SPA_target_WDC;[null];[null];Missing description (no localization key exists);
SPA_the_good_word_of_anarchism;[null];[null];Missing description (no localization key exists);
SPA_state_of_anarchy;[null];[null];Missing description (no localization key exists);
SPA_bigger_guns;[null];[null];Missing description (no localization key exists);
SPA_trucks_with_guns;[null];[null];Missing description (no localization key exists);
SPA_Improving_Quality_of_weapon_Imports;[null];[null];Missing description (no localization key exists);
SPA_Celebrate_Anarcho_capitalism;[null];[null];Missing description (no localization key exists);
SPA_The_Ends_Justifies_The_Means;[null];[null];Missing description (no localization key exists);
SPA_embrace_anarchy;[null];[null];Missing description (no localization key exists);
SPA_expand_pittsburg_arms_factories;[null];[null];Missing description (no localization key exists);
SPA_vicotry_over_new_york;[null];[null];Missing description (no localization key exists);
SPA_Returning_to_Our_Old_Ways;[null];[null];Missing description (no localization key exists);
SPA_fund_Gettysburg_College;[null];[null];Missing description (no localization key exists);
SPA_take_out_new_york_city;[null];[null];Missing description (no localization key exists);
SPA_align_the_deep_south;[null];[null];Missing description (no localization key exists);
SPA_Deitsche_Defence_Act;[null];[null];Missing description (no localization key exists);
SPA_Liberate_Amish_From_NY;[null];[null];Missing description (no localization key exists);
SPA_invite_michigan;[null];[null];Missing description (no localization key exists);
SPA_friends_across_the_delaware;[null];[null];Missing description (no localization key exists);
SPA_develop_closer_ties_to_our_allies;[null];[null];Missing description (no localization key exists);
SPA_invest_in_universities;[null];[null];Missing description (no localization key exists);
SPA_Mennonite_unite;[null];[null];Missing description (no localization key exists);
SPA_repair_the_military_factories;[null];[null];Missing description (no localization key exists);
SPA_Purchase_Stuka_designs;[null];[null];Missing description (no localization key exists);
SPA_is_a_good_offense;[null];[null];Missing description (no localization key exists);
SPA_Celibration_Of_Our_Heritage;[null];[null];Missing description (no localization key exists);
SPA_Purchase_Weapons_From_Germany;[null];[null];Missing description (no localization key exists);
SPA_Goat_Power;[null];[null];Missing description (no localization key exists);
SPA_abolish_the_national_treasury;[null];[null];Missing description (no localization key exists);
SPA_reunite_the_bund;[null];[null];Missing description (no localization key exists);
SPA_PA_is_Our_Fatherland;[null];[null];Missing description (no localization key exists);
SPA_democratic_industries;[null];[null];Missing description (no localization key exists);
SPA_go_with_fritz_julius_kuhn;[null];[null];Missing description (no localization key exists);
SPA_Encourage_foreign_recruitment;[null];[null];Missing description (no localization key exists);
SPA_the_arsenal_of_freedom;[null];[null];Missing description (no localization key exists);
SPA_The_next_generation_anarchists;[null];[null];Missing description (no localization key exists);
SPA_Revitalize_Gettysburg_Area;[null];[null];Missing description (no localization key exists);
SPA_finish_integration;Finish Integration;;Empty description (localization key exists);
SPA_invite_ohio;[null];[null];Missing description (no localization key exists);
SPA_support_the_portland_commune;[null];[null];Missing description (no localization key exists);
SPA_PA_Anabaptists_highway;[null];[null];Missing description (no localization key exists);
